iter	Passed	Remaining
541	4714	3984
542	4723	3975
543	4733	3967
544	4741	3958
545	4750	3949
546	4759	3941
547	4768	3932
548	4777	3924
549	4786	3915
550	4794	3907
551	4803	3898
552	4812	3890
553	4821	3881
554	4829	3872
555	4837	3863
556	4846	3854
557	4853	3844
558	4863	3836
559	4872	3828
560	4881	3819
561	4889	3811
562	4898	3802
563	4907	3793
564	4915	3784
565	4924	3775
566	4932	3766
567	4940	3757
568	4948	3748
569	4956	3738
570	4964	3729
571	4972	3720
572	4980	3711
573	4987	3701
574	4996	3692
575	5005	3684
576	5015	3676
577	5024	3668
578	5032	3659
579	5042	3651
580	5050	3642
581	5059	3634
582	5068	3625
583	5077	3616
584	5086	3608
585	5094	3599
586	5102	3590
587	5111	3581
588	5120	3573
589	5129	3564
590	5137	3555
591	5146	3546
592	5154	3537
593	5162	3528
594	5170	3519
595	5179	3511
596	5187	3501
597	5196	3493
598	5204	3484
599	5212	3475
600	5220	3466
601	5230	3457
602	5239	3449
603	5248	3440
604	5256	3432
605	5265	3423
606	5274	3414
607	5283	3406
608	5292	3397
609	5301	3389
610	5308	3379
611	5316	3370
612	5324	3361
613	5333	3352
614	5342	3344
615	5351	3335
616	5360	3327
617	5368	3318
618	5377	3309
619	5386	3301
620	5394	3292
621	5403	3284
622	5412	3275
623	5420	3266
624	5429	3257
625	5437	3248
626	5446	3240
627	5454	3231
628	5462	3221
629	5470	3213
630	5480	3204
631	5489	3196
632	5498	3188
633	5508	3180
634	5517	3171
635	5525	3162
636	5533	3153
637	5542	3144
638	5551	3136
639	5559	3127
640	5568	3118
641	5577	3110
642	5585	3101
643	5594	3092
644	5603	3083
645	5611	3075
646	5620	3066
647	5628	3057
648	5636	3048
649	5645	3040
650	5655	3031
651	5663	3022
652	5673	3014
653	5681	3005
654	5689	2996
655	5695	2986
656	5704	2978
657	5713	2969
658	5722	2961
659	5731	2952
660	5740	2943
661	5750	2935
662	5759	2927
663	5766	2917
664	5774	2908
665	5782	2900
666	5791	2891
667	5799	2882
668	5808	2873
669	5815	2864
670	5825	2856
671	5833	2847
672	5842	2838
673	5851	2830
674	5860	2821
675	5868	2812
676	5877	2804
677	5885	2795
678	5895	2787
679	5902	2777
